"Group By Week Report for maniac369"
 
 Time Period,Count,Distance,Time,Elevation Gain,Avg Speed,Avg HR,Avg Run Cadence,Avg Bike Cadence,Calories,
 10/22/2012,4,41.92,6:44:12,"6,730",6.2,--,--,--,"4,612",
 10/15/2012,3,18.66,2:37:22,458,7.1,--,--,--,"2,086",
 10/08/2012,1,14.00,3:30:00,--,--,--,--,--,--,
 10/01/2012,2,31.41,4:38:32,643,6.7,--,--,--,"2,921",
 09/24/2012,5,39.56,6:24:12,"4,091",6.2,--,--,--,"4,402",
 09/17/2012,3,10.26,1:31:18,"1,228",6.7,--,--,--,"1,148",
 09/10/2012,6,56.09,14:25:49,"9,191",3.9,--,--,--,"4,979",
 09/03/2012,7,41.09,6:06:46,"5,763",6.7,--,--,--,"3,471",
 08/27/2012,5,36.40,6:57:52,"7,544",5.2,--,--,--,"3,822",
 08/20/2012,8,41.67,6:27:56,"6,039",6.4,--,--,--,"4,515",
 08/13/2012,2,10.73,1:42:15,"1,638",6.3,--,--,--,"1,187",
 08/06/2012,1,2.10,:,--,--,--,--,--,--,
 07/30/2012,4,16.60,2:37:41,"2,848",6.3,--,--,--,"1,762",
 07/23/2012,3,62.09,12:38:00,"5,611",5.0,--,--,--,918,
 07/16/2012,6,20.48,3:05:57,"3,769",6.6,--,--,--,"2,123",
 07/09/2012,1,31.07,6:40:43,"3,346",4.7,--,--,--,"2,437",
 07/02/2012,6,27.35,4:04:29,"4,465",6.7,--,--,--,"3,042",
 06/25/2012,5,20.71,3:26:31,"2,534",6.0,--,--,--,"2,279",
 06/18/2012,5,46.39,8:20:30,"7,103",5.6,--,--,--,"4,907",
 06/11/2012,6,30.46,4:45:07,"4,035",6.4,--,--,--,"3,387",
 06/04/2012,5,26.80,3:55:45,"3,830",6.8,--,--,--,"2,981",
 05/28/2012,6,33.98,5:35:44,"8,345",6.1,--,--,--,"3,758",
 05/21/2012,3,60.67,1:08:47,852,6.7,--,--,--,856,
 05/14/2012,5,21.67,3:07:47,"1,328",6.9,--,--,--,"2,420",
 05/07/2012,3,45.78,9:12:01,"6,848",5.0,--,--,--,"4,124",
 04/30/2012,3,9.26,1:19:18,618,7.0,--,--,--,"1,042",
 04/23/2012,3,36.96,5:18:38,"1,202",7.0,--,--,--,"4,146",
 04/16/2012,3,25.53,3:34:29,"1,702",7.1,--,--,--,"2,873",
 04/09/2012,5,53.84,9:23:57,"3,976",5.8,--,--,--,"5,234",
 04/02/2012,5,20.70,3:17:59,"5,254",6.3,--,--,--,"2,298",
 03/26/2012,4,25.19,3:55:44,"2,982",6.4,--,--,--,"2,789",
 03/19/2012,4,48.18,8:43:54,"8,130",5.5,--,--,--,"4,536",
 03/12/2012,3,19.13,2:37:38,588,7.3,--,--,--,"2,148",
 03/05/2012,5,30.09,4:20:39,"2,626",6.9,--,--,--,"3,363",
 02/27/2012,7,43.06,6:15:04,"4,038",6.9,--,--,--,"4,831",
 02/20/2012,7,42.57,6:21:47,"4,242",6.7,--,--,--,"4,729",
 02/13/2012,4,22.40,3:12:25,"1,075",7.0,--,--,--,"2,488",
 02/06/2012,6,38.36,5:53:20,"3,482",6.5,--,--,--,"2,643",
 01/30/2012,6,29.33,4:09:33,"2,823",7.1,--,--,--,"3,268",
 01/23/2012,7,33.09,5:06:15,"3,222",6.5,--,--,--,"3,635",
 01/16/2012,4,28.42,4:31:14,"2,929",6.3,--,--,--,"3,158",
 01/09/2012,7,36.46,5:51:20,"6,392",6.2,--,--,--,"3,986",
 01/02/2012,6,30.13,4:28:55,"4,720",6.7,--,--,--,"3,342",
 12/26/2011,5,24.49,3:33:01,"2,311",6.9,--,--,--,"2,321",
 12/12/2011,4,42.70,6:19:03,"1,167",6.8,--,--,--,"4,402",
 12/05/2011,5,29.75,4:28:50,"1,645",6.6,--,--,--,"3,371",
 11/28/2011,7,29.50,4:25:31,"3,721",6.7,--,--,--,"3,297",
 11/21/2011,4,21.70,3:16:25,"2,081",6.6,--,--,--,"2,407",
 11/14/2011,5,28.26,4:09:10,"1,432",6.8,--,--,--,"3,142",
 11/07/2011,5,20.78,2:59:42,"1,547",6.9,--,--,--,"2,318",
 10/31/2011,5,25.81,3:32:37,"3,373",7.3,--,--,--,"2,886",
 10/24/2011,4,18.89,2:40:48,"2,486",7.0,--,--,--,"2,092",
 10/17/2011,3,12.64,1:49:32,"1,603",6.9,--,--,--,"1,414",
 10/10/2011,4,35.11,5:55:45,"4,305",5.9,--,--,--,"3,129",
 10/03/2011,4,40.22,6:54:16,"1,413",5.8,--,--,--,"4,338",
 09/26/2011,2,10.49,1:22:37,97,7.6,--,--,--,615,
 09/12/2011,1,5.19,45:45,294,6.8,--,--,--,75,
 08/29/2011,1,5.69,54:56,"1,056",6.2,--,--,--,632,
 08/22/2011,5,32.21,4:34:59,"1,805",7.0,--,--,--,"3,537",
 08/15/2011,5,24.70,3:51:44,"3,236",6.4,--,--,--,"2,681",
 08/08/2011,5,30.77,4:37:35,"2,723",6.7,--,--,--,"3,392",
 08/01/2011,7,26.09,3:38:30,"1,570",7.2,--,--,--,"2,858",
 07/25/2011,7,76.64,15:47:47,"6,303",4.9,--,--,--,"6,605",
 07/18/2011,3,17.25,2:48:12,"2,549",6.2,--,--,--,"1,861",
 07/11/2011,3,9.48,1:11:49,"1,968",7.9,--,--,--,"1,064",
 07/04/2011,4,30.38,4:46:05,"2,816",6.4,--,--,--,"3,284",
 06/13/2011,6,69.18,11:58:00,"7,024",5.8,--,--,--,"6,889",
 06/06/2011,4,48.13,10:09:07,"10,398",4.7,--,--,--,"4,920",
 05/30/2011,3,39.91,6:35:22,"2,523",6.1,--,--,--,"4,203",
